gen:1, mean_prob:8.241378e-02
gen:2, mean_prob:1.360877e-01
gen:3, mean_prob:1.781010e-01
gen:4, mean_prob:2.141116e-01
gen:5, mean_prob:3.189554e-01
gen:6, mean_prob:4.882174e-01
gen:7, mean_prob:6.125726e-01
gen:8, mean_prob:6.971184e-01
gen:9, mean_prob:7.688791e-01
gen:10, mean_prob:8.211752e-01
gen:11, mean_prob:8.746302e-01
gen:12, mean_prob:9.248796e-01
gen:13, mean_prob:9.404569e-01
gen:14, mean_prob:9.477869e-01
gen:15, mean_prob:9.514951e-01
gen:16, mean_prob:9.559531e-01
gen:17, mean_prob:9.597527e-01
gen:18, mean_prob:9.688330e-01
gen:19, mean_prob:9.671065e-01
gen:20, mean_prob:9.587059e-01
gen:21, mean_prob:9.786837e-01
gen:22, mean_prob:9.773274e-01
gen:23, mean_prob:9.855692e-01
gen:24, mean_prob:9.827319e-01
gen:25, mean_prob:9.864992e-01
gen:26, mean_prob:9.897497e-01
gen:27, mean_prob:9.855192e-01
gen:28, mean_prob:9.837067e-01
gen:29, mean_prob:9.936877e-01
gen:30, mean_prob:9.917340e-01
gen:31, mean_prob:9.941406e-01
gen:32, mean_prob:9.933704e-01
gen:33, mean_prob:9.961470e-01
gen:34, mean_prob:9.962565e-01
gen:35, mean_prob:9.953513e-01
gen:36, mean_prob:9.947470e-01
gen:37, mean_prob:9.952784e-01
gen:38, mean_prob:9.872292e-01
gen:39, mean_prob:9.965294e-01
gen:40, mean_prob:9.974129e-01
gen:41, mean_prob:9.969507e-01
gen:42, mean_prob:9.955891e-01
gen:43, mean_prob:9.964987e-01
gen:44, mean_prob:9.970975e-01
gen:45, mean_prob:9.971877e-01
gen:46, mean_prob:9.974352e-01
gen:47, mean_prob:9.978047e-01
gen:48, mean_prob:9.976354e-01
gen:49, mean_prob:9.972534e-01
gen:50, mean_prob:9.962444e-01
gen:51, mean_prob:9.981055e-01
gen:52, mean_prob:9.964970e-01
gen:53, mean_prob:9.965850e-01
gen:54, mean_prob:9.979622e-01
gen:55, mean_prob:9.980727e-01
gen:56, mean_prob:9.983560e-01
gen:57, mean_prob:9.977972e-01
gen:58, mean_prob:9.976066e-01
gen:59, mean_prob:9.974518e-01
gen:60, mean_prob:9.983370e-01
gen:61, mean_prob:9.988919e-01
gen:62, mean_prob:9.988388e-01
gen:63, mean_prob:9.967957e-01
gen:64, mean_prob:9.961957e-01
gen:65, mean_prob:9.979559e-01
gen:66, mean_prob:9.977289e-01
gen:67, mean_prob:9.991294e-01
gen:68, mean_prob:9.987540e-01
gen:69, mean_prob:9.958344e-01
gen:70, mean_prob:9.991496e-01
gen:71, mean_prob:9.988549e-01
gen:72, mean_prob:9.988472e-01
gen:73, mean_prob:9.985792e-01
gen:74, mean_prob:9.987881e-01
gen:75, mean_prob:9.971731e-01
gen:76, mean_prob:9.989175e-01
gen:77, mean_prob:9.989539e-01
gen:78, mean_prob:9.981438e-01
gen:79, mean_prob:9.989207e-01
gen:80, mean_prob:9.987163e-01
gen:81, mean_prob:9.991289e-01
gen:82, mean_prob:9.976995e-01
gen:83, mean_prob:9.989431e-01
gen:84, mean_prob:9.986804e-01
gen:85, mean_prob:9.930379e-01
gen:86, mean_prob:9.991242e-01
gen:87, mean_prob:9.990041e-01
gen:88, mean_prob:9.991155e-01
gen:89, mean_prob:9.993672e-01
gen:90, mean_prob:9.992232e-01
gen:91, mean_prob:9.987376e-01
gen:92, mean_prob:9.989334e-01
gen:93, mean_prob:9.991229e-01
gen:94, mean_prob:9.989144e-01
gen:95, mean_prob:9.993681e-01
gen:96, mean_prob:9.992942e-01
gen:97, mean_prob:9.993962e-01
gen:98, mean_prob:9.992678e-01
gen:99, mean_prob:9.994403e-01
gen:100, mean_prob:9.989546e-01
